query_name,country_code,matched_name,openalex_id,ror,works_count_from_institution,works_count_from_filter,cited_by_count,country,type,homepage_url,match_status,note,h_index,i10_index,mean_citedness_2yr,full_name,inn,ogrn
Московский государственный университет,RU,Lomonosov Moscow State University,I19880235,https://ror.org/010pmpe69,200361,189219,8808858,Russia,education,http://www.msu.ru/en/,matched:exact_name;country=RU,,717,154817,1.3957672152926415,Московский государственный университет имени М.В.Ломоносова,7729082090,1037700258694
Санкт-Петербургский государственный университет аэрокосмического приборостроения,RU,Saint Petersburg State University of Aerospace and Instrumentation,I130523015,https://ror.org/02rsxaa93,4241,4178,39539,Russia,education,http://new.guap.ru/,matched:exact_name;country=RU,,79,738,0.6968215158924206,Санкт-Петербургский государственный университет аэрокосмического приборостроения,7812003110,1027810232680
Высшая школа экономики,RU,National Research University Higher School of Economics,I118501908,https://ror.org/055f7t516,63256,61508,759871,Russia,education,http://www.hse.ru/en/,matched:exact_name;country=RU,,237,14390,1.4835559774869465,Высшая школа экономики,7714030726,1027739630401
Московский физико-технический институт,RU,Moscow Institute of Physics and Technology,I153845743,https://ror.org/00v0z9322,33012,31330,932402,Russia,education,https://mipt.ru/en/,matched:exact_name;country=RU,,266,19392,1.7187036644778648,Московский физико-технический институт (национальный исследовательский университет),5008006211,1027739386135
МИФИ,RU,National Research Nuclear University MEPhI,I887846188,https://ror.org/04w8z7f34,29730,27520,2620489,Russia,education,https://eng.mephi.ru/,matched:strong_partial;country=RU,,458,33529,1.8201959306706859,МИФИ,7724068140,1037739366477
Московский государственный технический университет,RU,MIREA - Russian Technological University,I4210135186,https://ror.org/04qrtgy16,8014,7889,65832,Russia,education,https://english.mirea.ru/,matched:strong_partial;country=RU,,70,1765,0.880244953504196,Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет),7701002520,1027739051779
университет ИТМО,RU,,,,,,,,,,not_found,No institution match returned from OpenAlex,,,,Национальный исследовательский университет ИТМО,7813045547,1027806868154
МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ МЕЖДУНАРОДНЫХ ОТНОШЕНИЙ,RU,Moscow State Institute of International Relations,I184139950,https://ror.org/04zn7jb34,14797,14501,27203,Russia,education,http://english.mgimo.ru/,matched:exact_name;country=RU,,44,591,0.25911232333250683,МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ ИНСТИТУТ МЕЖДУНАРОДНЫХ ОТНОШЕНИЙ (УНИВЕРСИТЕТ) МИНИСТЕРСТВА ИНОСТРАННЫХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ,7729134728,1037739194217
РОССИЙСКАЯ АКАДЕМИЯ НАРОДНОГО ХОЗЯЙСТВА И ГОСУДАРСТВЕННОЙ СЛУЖБЫ ПРИ ПРЕЗИДЕНТЕ РОССИЙСКОЙ ФЕДЕРАЦИИ,RU,The Russian Presidential Academy of National Economy and Public Administration,I263417816,https://ror.org/04xnm9a92,16872,16382,40373,Russia,government,https://www.ranepa.ru/,matched:exact_name;type=government;country=RU,,63,903,0.3907435508345979,РОССИЙСКАЯ АКАДЕМИЯ НАРОДНОГО ХОЗЯЙСТВА И ГОСУДАРСТВЕННОЙ СЛУЖБЫ ПРИ ПРЕЗИДЕНТЕ РОССИЙСКОЙ ФЕДЕРАЦИИ,7729050901,1027739610018
МИСИС,RU,National University of Science and Technology,I12003341,https://ror.org/019vsm959,15454,15363,667114,Russia,education,http://en.misis.ru/,matched:strong_partial;country=RU,,211,15746,3.2215150893040443,МИСИС,7706019535,1027739439749
Российский университет дружбы народов,RU,Peoples' Friendship University of Russia,I126527374,https://ror.org/02dn9h927,37339,36489,391538,Russia,education,https://www.rudn.ru,matched:exact_name;country=RU,,152,9284,1.4849193803351248,Российский университет дружбы народов имени Патриса Лумумбы,7728073720,1027739189323
Новосибирский государственный университет,RU,Novosibirsk State University,I188973947,https://ror.org/04t2ss102,39219,37392,1891910,Russia,education,https://www.nsu.ru/n,matched:exact_name;country=RU,,359,38102,2.123375902276513,Новосибирский национальный исследовательский государственный университет,5408106490,1025403658565
Томский государственный университет,RU,Tomsk State Pedagogical University,I101072179,https://ror.org/00x3rpv59,2474,2418,60739,Russia,education,http://www.tspu.edu.ru/,matched:strong_partial;country=RU,,107,1118,1.4219409282700421,Национальный исследовательский Томский государственный университет,7018012970,1027000853978
Уральский федеральный университет,RU,Ural Federal University,I130823665,https://ror.org/00hs7dr46,39327,38238,681042,Russia,education,http://urfu.ru,matched:exact_name;country=RU,,172,18750,3.1364991636971857,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина,6660003190,1026604939855
Казанский федеральный университет,RU,,,,,,,,,,not_found,No institution match returned from OpenAlex,,,,Казанский (Приволжский) федеральный университет,1655018018,1021602841391
Южно-Уральский государственный университет,RU,South Ural State University,I107640659,https://ror.org/03sfk2504,15633,15205,336720,Russia,education,https://www.susu.ru,matched:exact_name;country=RU,,166,7354,2.331701346389229,Южно-Уральский государственный университет (национальный исследовательский университет),7453019764,1027403857568
